id,title,year,rating,poster,country,notes
tt0047478,Seven Samurai,1954,8.6,https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_SX300.jpg,Japan,
tt0048473,Pather Panchali,1955,8.2,https://m.media-amazon.com/images/M/MV5BNmZhNzc0ZDMtZDg2My00MjkxLWJjZTctNTljODc2ZjQzMzJkXkEyXkFqcGc@._V1_SX300.jpg,India,
tt0190332,"Crouching Tiger, Hidden Dragon",2000,7.9,https://m.media-amazon.com/images/M/MV5BMzRmMTU2OWEtZjI0Ni00MGRhLThjOTItZTJiNmM4MDk0ZWU2XkEyXkFqcGc@._V1_SX300.jpg,"China, Taiwan, Hong Kong, United States",
tt1588895,Uncle Boonmee Who Can Recall His Past Lives,2010,6.7,https://m.media-amazon.com/images/M/MV5BMTc2MjAxMzI3NV5BMl5BanBnXkFtZTcwMDE3MDU0NA@@._V1_SX300.jpg,"Thailand, United Kingdom, France, Germany, Spain, Netherlands",
tt0050188,Mother India,1957,7.8,https://m.media-amazon.com/images/M/MV5BNTQ0YjMyOGQtMzJjOS00MTMyLWEzMDEtMTI4YTY3MzA2N2ZmXkEyXkFqcGc@._V1_SX300.jpg,India,
tt0073707,Sholay,1975,8.1,https://m.media-amazon.com/images/M/MV5BMDNjZTE2ZWItZDZmOC00Y2UzLWI0NzctZGFmYzkzODllNjQ3XkEyXkFqcGc@._V1_SX300.jpg,India,
tt0112870,Dilwale Dulhania Le Jayenge,1995,8.0,https://m.media-amazon.com/images/M/MV5BMDQyMDI4ZGMtYjI5MS00YTk1LTk3ZDgtZTA3MzQ5YWQ4Y2Q4XkEyXkFqcGc@._V1_SX300.jpg,India,
tt1954470,Gangs of Wasseypur,2012,8.2,https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_SX300.jpg,"India, France",
tt4430212,Drishyam,2015,8.2,https://m.media-amazon.com/images/M/MV5BM2NmMGFjYTYtNWEwNS00MTM4LWE2ZTktNzZjMTE0OTQyNjFiXkEyXkFqcGc@._V1_SX300.jpg,India,
tt10280296,Sardar Udham,2021,8.3,https://m.media-amazon.com/images/M/MV5BMzI5ZTIxOTgtNzU4Zi00YmE4LTlkMTMtNjhkODc0ZjdjZGI3XkEyXkFqcGc@._V1_SX300.jpg,India,
tt0211915,Amélie,2001,8.3,https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_SX300.jpg,"France, Germany",
tt0095765,Cinema Paradiso,1988,8.5,https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_SX300.jpg,"Italy, France",
tt0457430,Pan's Labyrinth,2006,8.2,https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_SX300.jpg,"Mexico, Spain",
tt0405094,The Lives of Others,2006,8.4,https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_SX300.jpg,"Germany, France",
tt0050976,The Seventh Seal,1957,8.1,https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_SX300.jpg,Sweden,
tt0317248,City of God,2002,8.6,https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_SX300.jpg,"Brazil, France",
tt1305806,The Secret in Their Eyes,2009,8.2,https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_SX300.jpg,"Argentina, Spain",
tt6155172,Roma,2018,7.7,https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_SX300.jpg,"Mexico, United States",
tt1255953,Incendies,2010,8.3,https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_SX300.jpg,"Canada, France",
tt0468565,Tsotsi,2005,7.2,https://m.media-amazon.com/images/M/MV5BNGVhMjgzZDktOTc5Yy00Y2M1LTk5NjctNWQwMmY5NmRjNTZiXkEyXkFqcGc@._V1_SX300.jpg,"United Kingdom, South Africa",
tt0425321,The Yacoubian Building,2006,7.5,https://m.media-amazon.com/images/M/MV5BNjM1OGMzYzMtYTM3Zi00YmY4LWIxNzYtNDA0M2NkODkwYTYyXkEyXkFqcGc@._V1_SX300.jpg,"Egypt, France",
tt1392190,Mad Max: Fury Road,2015,8.1,https://m.media-amazon.com/images/M/MV5BZDRkODJhOTgtOTc1OC00NTgzLTk4NjItNDgxZDY4YjlmNDY2XkEyXkFqcGc@._V1_SX300.jpg,"Australia, United States",
tt0298228,Whale Rider,2002,7.5,https://m.media-amazon.com/images/M/MV5BMjM3MzE2OTEwNF5BMl5BanBnXkFtZTcwNTkyMTg4NA@@._V1_SX300.jpg,"New Zealand, Germany",
